LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0003243117-0001-4,THE GOLDEN POPPY MARKET AND CAFE LLC,THE GOLDEN POPPY MARKET AND CAFE,1209   CYPRESS AVENUE,LOS ANGELES,90065-1112,1209 CYPRESS 90065-1112,POST OFFICE BOX #65676,LOS ANGELES,90065-0676,445100,Grocery stores (including supermarkets & convenience stores without gas),1,07/01/2021,,"(34.0955, -118.228)"
0000210285-0005-7,MRS GOOCHS NATURAL FOOD MARKETS INC,WHOLE FOODS MARKET,11737 SAN VICENTE BLVD,LOS ANGELES,90049-5005,11737 SAN VICENTE 90049-5005,POST OFFICE BOX #684786,AUSTIN,78768-4786,445100,Grocery stores (including supermarkets & convenience stores without gas),11,08/05/1997,,"(34.0534, -118.4669)"
0003051654-0001-7,DIANA FIGUEROA,,9202 S VERMONT AVENUE,LOS ANGELES,90044-3322,9202 VERMONT 90044-3322,9202 S VERMONT AVENUE,LOS ANGELES,90044-3322,445100,Grocery stores (including supermarkets & convenience stores without gas),8,03/28/2018,,"(33.9528, -118.2915)"
0003155054-0001-2,GRIGOR MALAKYAN,VERDUGO MINI MART,4108  1/2 VERDUGO ROAD,LOS ANGELES,90065-3821,4108 Verdugo 90065-3821,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),14,10/30/2019,,"(34.1254, -118.2314)"
0003155042-0001-0,ROSA M GIRON,ROSITA'S PRODUCE,4808 W WASHINGTON BLVD,LOS ANGELES,90016-1502,4808 WASHINGTON 90016,4808 W WASHINGTON BLVD,LOS ANGELES,90016-1502,445100,Grocery stores (including supermarkets & convenience stores without gas),10,10/15/2019,,"(34.0396, -118.3439)"
0002013942-0001-3,JOSE LUIS RODRIGUEZ,RODRIGUEZ MINI MARKET 99 CENTS & UP,8252 S MAIN STREET,LOS ANGELES,90003-2932,8252 MAIN 90003-2932,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,01/04/2005,,"(33.9645, -118.2738)"
0000210285-0001-4,MRS GOOCHS NATURAL FOOD MARKETS INC,365 BY WHOLE FOODS MARKET,11666 NATIONAL BLVD,LOS ANGELES,90064-3802,11666 NATIONAL 90064-3802,POST OFFICE BOX #684786,AUSTIN,78768-4786,445100,Grocery stores (including supermarkets & convenience stores without gas),11,11/01/1976,,"(34.0231, -118.4376)"
0003155263-0001-8,ANGELICA BAHENA BAHENA,J'S MINI MARKET & BEAUTY SUPPLY,9305 S BROADWAY,LOS ANGELES,90003-4043,9305 Broadway 90003-4043,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),14,10/02/2019,,"(33.9517, -118.2787)"
0003156303-0001-1,"ROY PREMIERE PROPERTIES, INC.",SWADESH,4153 W 3RD STREET,LOS ANGELES,90020-3446,4153 3RD 90020,8345   RESEDA BLVD   SUITE #222,NORTHRIDGE,91324-5933,445100,Grocery stores (including supermarkets & convenience stores without gas),10,10/22/2019,,"(34.0692, -118.3045)"
0003261893-0001-1,SAAN MAAN INC,7-ELEVEN STORE 23949B,1519 S BUNDY DRIVE,LOS ANGELES,90025-2603,1519 BUNDY 90025-2603,POST OFFICE BOX #219088,DALLAS,75221-9088,445100,Grocery stores (including supermarkets & convenience stores without gas),11,07/14/2021,,"(34.0398, -118.4629)"
0000461495-0001-4,KAM SHUNG LAU,LAU'S RANCH MARKET,705 N SPRING STREET,LOS ANGELES,90012-2823,705 SPRING 90012-2823,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),1,04/10/1997,,"(34.0599, -118.2378)"
0003023602-0001-5,JASSON ODILDER MARTINEZ,BUBBAS MARKET,4700 S VERMONT AVENUE,LOS ANGELES,90037-2928,4700 VERMONT 90037-2928,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),0,12/29/2017,,
0000130266-0003-5,ROSA R TOSCANO,THE BLUE STORE MARKET,4767 S BROADWAY,LOS ANGELES,90037-3253,4767 BROADWAY 90037-3253,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,07/01/2010,,"(33.9997, -118.2783)"
0000210285-0008-1,MRS GOOCHS NATURAL FOOD MARKETS INC,WHOLE FOODS MARKET,6350 W 3RD STREET,LOS ANGELES,90036-3155,6350 3RD 90036-3155,POST OFFICE BOX #684786,AUSTIN,78768-4786,445100,Grocery stores (including supermarkets & convenience stores without gas),4,05/15/2002,,"(34.0713, -118.3604)"
0002496921-0001-6,FELIPA MAGDALENA ACABAL,,2240 W TEMPLE STREET,LOS ANGELES,90026-4918,2240 TEMPLE 90026-4918,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),13,03/18/2010,,"(34.071, -118.2704)"
0000210285-0010-3,MRS GOOCHS NATURAL FOOD MARKETS INC,WHOLEFOODS MARKET,1050 GAYLEY AVENUE,LOS ANGELES,90024-3402,1050 GAYLEY 90024-3402,POST OFFICE BOX #684786,AUSTIN,78768-4786,445100,Grocery stores (including supermarkets & convenience stores without gas),5,01/15/2003,,"(34.0617, -118.4477)"
0003157238-0001-4,NUEVA CORONA MARKET LLC,,1913 E 1ST STREET,LOS ANGELES,90033-3412,1913 1st 90033-3412,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),14,10/20/2019,,"(34.0466, -118.2168)"
0002474913-0002-2,BRYANT CANO,LA WEIGAND MARKET,10626 WEIGAND AVENUE,LOS ANGELES,90002-3868,10626 Weigand 90002-3868,949 E 103RD STREET,LOS ANGELES,90002-3247,445100,Grocery stores (including supermarkets & convenience stores without gas),15,09/13/2021,,"(33.939, -118.2294)"
0000210285-0014-6,MRS GOOCHS NATURAL FOOD MARKETS INC,WHOLE FOODS MARKET,770 S GRAND AVENUE,LOS ANGELES,90017-3813,770 GRAND 90017-3813,POST OFFICE BOX #684786,AUSTIN,78768-4786,445100,Grocery stores (including supermarkets & convenience stores without gas),14,11/04/2015,,"(34.0462, -118.2575)"
0002825196-0002-7,MARICELA PASCUAL,MINI MARKET BENDICION,3119 W 8TH STREET,LOS ANGELES,90005-1902,3119 8th 90005-1902,506 E 62ND STREET,LOS ANGELES,90003-1629,445100,Grocery stores (including supermarkets & convenience stores without gas),14,10/01/2019,,"(34.058, -118.2951)"
0000410558-0002-1,QAMAR UL HASSAN,JUNIOR MARKET,520 S OCCIDENTAL BLVD,LOS ANGELES,90057-1502,520 OCCIDENTAL 90057-1502,7838 BASSET COURT,CORONA,92880-3561,445100,Grocery stores (including supermarkets & convenience stores without gas),1,05/01/2011,,"(34.0641, -118.2841)"
0002850755-0001-1,ROXANA E HERNANDEZ,M CARNAL MARKET #2,128 E MARTIN LUTHER KING JR BLVD,LOS ANGELES,90011-2652,128 MARTIN LUTHER KING JR 90011-2652,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,03/03/2015,,"(34.0111, -118.2728)"
0000650242-0001-3,MOHAMMED S MEAH,BENS MARKET,2424 W 6TH STREET,LOS ANGELES,90057-3122,2424 6TH 90057-3122,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),1,11/17/1997,,"(34.0613, -118.279)"
0000032242-0002-1,SMART & FINAL STORES LLC,SMART & FINAL #511,2511 DALY STREET,LOS ANGELES,90031-2222,2511 DALY 90031-2222,POST OFFICE BOX #512377,LOS ANGELES,90051-0377,445100,Grocery stores (including supermarkets & convenience stores without gas),1,10/06/2009,,"(34.0749, -118.2156)"
0002553823-0001-5,SURMA PACIFIC FOODS INC,,222 W EL SEGUNDO BLVD,LOS ANGELES,90061-1636,222 EL SEGUNDO 90061-1636,18322 GLENBURN AVENUE,TORRANCE,90504-5026,445100,Grocery stores (including supermarkets & convenience stores without gas),0,01/01/2011,,"(33.9164, -118.277)"
0002686288-0001-7,BEATRIZ ARECHIGA,,5962 S VERMONT AVENUE,LOS ANGELES,90044-3743,5962 VERMONT 90044-3743,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,07/01/2013,,"(33.9861, -118.2914)"
0002343542-0001-6,OSCAR HERNANDEZ,LA TAPATIA MEAT MARKET,3319 N EASTERN AVENUE,LOS ANGELES,90032-1931,3319 EASTERN 90032-1931,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),14,12/20/2007,,"(34.0841, -118.178)"
0002836174-0001-6,JJ3 ENTERPRISES INC,BOB'S MARKET,1234 BELLEVUE AVENUE,LOS ANGELES,90026-5163,1234 BELLEVUE 90026-5163,1234   BELLEVUE AVENUE,LOS ANGELES,90026-5163,445100,Grocery stores (including supermarkets & convenience stores without gas),1,06/18/2015,,"(34.0678, -118.2521)"
0000687040-0001-8,ROSA VARGAS,GM MARKET,4129 CHEVY CHASE DRIVE,LOS ANGELES,90039-1223,4129 CHEVY CHASE 90039-1223,827 WORCESTER AVENUE,PASADENA,91104-4257,445100,Grocery stores (including supermarkets & convenience stores without gas),13,08/20/2002,,"(34.1334, -118.2681)"
0003217594-0001-2,SAIFUR ENTERPRISE LLC,HUT BAZAR MINI MARKET,3721 W 3RD STREET,LOS ANGELES,90020-2304,3721 3RD 90020,3721 W 3RD STREET,LOS ANGELES,90020-2304,445100,Grocery stores (including supermarkets & convenience stores without gas),10,09/28/2020,,"(34.0692, -118.297)"
0003182570-0001-0,864 S VERMONT AVE INC,ZION MARKET,888 S VERMONT AVENUE   UNIT #100,LOS ANGELES,90005-1523,888 VERMONT 90005-1523,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),10,03/01/2020,,"(34.0564, -118.2915)"
0002600670-0001-5,ROBERT W YOUNG JR,,8813 S NORMANDIE AVENUE,LOS ANGELES,90044-2105,8813 NORMANDIE 90044-2105,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),0,02/20/2012,,"(33.9578, -118.3002)"
0002261641-0001-2,RENS FOODMART INC,TEMPLE SEAFOOD MARKET,2422 W TEMPLE STREET,LOS ANGELES,90026-4818,2422 TEMPLE 90026-4818,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),13,07/12/2007,,"(34.0716, -118.2721)"
0003170141-0001-0,FAITH CASSELL,LITTLE AFRICA MINI MARKET,8609 S BROADWAY,LOS ANGELES,90003-3319,8609 Broadway 90003-3319,8609 S BROADWAY,LOS ANGELES,90003-3319,445100,Grocery stores (including supermarkets & convenience stores without gas),8,12/31/2019,,"(33.9597, -118.2787)"
0003172010-0001-1,"BANGLUCK MARKET HW, INC.",,5170   HOLLYWOOD BLVD,LOS ANGELES,90027-6131,5170 HOLLYWOOD 90027,5170   HOLLYWOOD BLVD,LOS ANGELES,90027-6131,445100,Grocery stores (including supermarkets & convenience stores without gas),13,01/01/2020,,"(34.1015, -118.303)"
0003188023-0001-8,JOHN DIAZ,GUERAS MINI MARKET,915   FOREST AVENUE   UNIT #B,LOS ANGELES,90033-2625,915 FOREST 90033,915   FOREST AVENUE   UNIT #B,LOS ANGELES,90033-2625,445100,Grocery stores (including supermarkets & convenience stores without gas),14,03/10/2020,,"(34.0503, -118.1984)"
0003172910-0001-4,ONWARD FRANCHISEE GROUP 38388 INC,7-ELEVEN STORE 38388A,3770 S WESTERN AVENUE,LOS ANGELES,90018-4435,3770 WESTERN 90018-4435,POST OFFICE BOX #219088,DALLAS,75221-9088,445100,Grocery stores (including supermarkets & convenience stores without gas),8,01/13/2020,,"(34.0187, -118.3085)"
0003169530-0001-3,CALIFORNIA FOOD SALES INC.,,4156 S CENTRAL AVENUE,LOS ANGELES,90011-3154,4156 CENTRAL 90011,1614   GALAXY DRIVE,NEWPORT BEACH,92660-4348,445100,Grocery stores (including supermarkets & convenience stores without gas),9,01/01/2020,,"(34.0081, -118.2561)"
0003216622-0001-9,ASHKAR BROTHERS INC,NEW VERNON RANCH MARKET,1713 E VERNON AVENUE   SUITE #107,LOS ANGELES,90058-1729,1713 VERNON 90058,1713 E VERNON AVENUE   SUITE #107,LOS ANGELES,90058-1729,445100,Grocery stores (including supermarkets & convenience stores without gas),9,03/03/2020,,"(34.0042, -118.2423)"
0002944948-0001-6,THANKYOU MARKET LLC,,307 E 11TH STREET,LOS ANGELES,90015-1714,307 11TH 90015-1714,455 S BERENDO STREET   #106,LOS ANGELES,90020-2148,445100,Grocery stores (including supermarkets & convenience stores without gas),14,12/10/2016,,"(34.0378, -118.256)"
0000748953-0001-6,DHANYA INC,7-ELEVEN #32831B | 7-ELEVEN STORE 32831B,4501 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90016-6002,4501 MARTIN LUTHER KING JR 90016-6002,POST OFFICE BOX #219088,DALLAS,75221-9088,445100,Grocery stores (including supermarkets & convenience stores without gas),10,11/20/2001,,"(34.0192, -118.3483)"
0002091309-0001-8,HOTCAKES BAKES /C,,4119 S CENTINELA AVENUE,LOS ANGELES,90066-4908,4119 CENTINELA 90066-4908,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),0,02/01/2006,,"(33.9967, -118.4282)"
0000949204-0001-3,JOSE MARIA LEON,ROY S MARKET,6127 S MAIN STREET,LOS ANGELES,90003-1237,6127 MAIN 90003-1237,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,09/08/1999,,"(33.984, -118.2739)"
0003168190-0001-5,HECTOR HUERTA,BELLA GENERAL SUPPLY,3004 MAPLE AVENUE,LOS ANGELES,90011-1924,3004 Maple 90011-1924,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,12/18/2019,,"(34.02, -118.2673)"
0002510292-0001-0,D & P INTERNATIONAL INVESTMENTS INC,EL REY MARKET,1471 W JEFFERSON BLVD,LOS ANGELES,90007-3455,1471 JEFFERSON 90007-3455,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,06/29/2010,,"(34.0255, -118.2993)"
0003172915-0001-7,GREENWOOD ENTERPRISE HOLDINGS LLC,7-ELEVEN STORE 38274A,4209 W WASHINGTON BLVD,LOS ANGELES,90016-1879,4209 WASHINGTON 90016-1879,POST OFFICE BOX #219088,DALLAS,75221-9088,445100,Grocery stores (including supermarkets & convenience stores without gas),10,01/13/2020,,"(34.0402, -118.3313)"
0002720721-0001-8,CHRISTIAN AGUSTIN HERNANDEZ,MERCADITO LOS HERNANDEZ,4614 S BROADWAY,LOS ANGELES,90037-2730,4614 BROADWAY 90037-2730,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,01/01/2014,,"(34.0018, -118.2783)"
0003171480-0001-1,HALA CHUNG,ELEVATED,122 N BERENDO STREET,LOS ANGELES,90004-4702,122 Berendo 90004-4702,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),13,01/02/2020,,"(34.0734, -118.2938)"
0000010613-0001-1,EL POTRILLO MARKET INC,MASHIUR KHAN AND MOHAMMED M HOSSANE,4151 W 3RD STREET #D,LOS ANGELES,90020-3495,4151 3RD 90020-3495,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),10,02/25/2000,,"(34.0689, -118.3041)"
0003172784-0001-1,CLAUDIA MARGARITA VALTIERRA,DASHMART TOBACCO & MINI MART,628 N VERMONT AVENUE    #2,LOS ANGELES,90004-2154,628 Vermont 90004-2154,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),13,01/10/2020,,"(34.0827, -118.2913)"
0002623665-0001-9,SIERRA FOODS INC,,1405 W CENTURY BLVD,LOS ANGELES,90047-3957,1405 CENTURY 90047-3957,23300 CINEMA DRIVE #220,VALENCIA,91355-1776,445100,Grocery stores (including supermarkets & convenience stores without gas),0,05/04/2012,,"(33.9454, -118.3003)"
0000180313-0001-7,PLACITA MARKET LA OAXAQUENA INC,PLACITA MARKET LA OAXAQUENA,2880 W 7TH STREET,LOS ANGELES,90005-3979,2880 7TH 90005-3979,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),1,09/01/2004,,"(34.0597, -118.2864)"
0003049875-0001-7,KING EXPRESS WASH INC,,1620 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90062-1630,1620 MARTIN LUTHER KING JR 90062-1630,9448 W PICO BLVD,LOS ANGELES,90035-1210,445100,Grocery stores (including supermarkets & convenience stores without gas),8,04/23/2018,,"(34.0106, -118.3073)"
0000023977-0001-4,B & B LIQUOR INC,B & B LIQUOR MARKET,8207 S WESTERN AVENUE,LOS ANGELES,90047-3036,8207 WESTERN 90047-3036,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,07/30/2003,,"(33.9644, -118.3089)"
0000953481-0001-8,MANUELA / PEDRO ZAMBRANO,LIM'S MARKET,10626 WEIGAND AVENUE,LOS ANGELES,90002-3868,10626 WEIGAND 90002-3868,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),15,04/12/1999,,"(33.9395, -118.2296)"
0000387039-0001-9,MOTHERS NUTRITIONAL CENTER INC,,423 E FLORENCE AVENUE,LOS ANGELES,90003-2233,423 FLORENCE 90003-2233,13635 FREEWAY DRIVE,SANTA FE SPRINGS,90670-5622,445100,Grocery stores (including supermarkets & convenience stores without gas),9,08/10/1996,,"(33.9747, -118.267)"
0000283151-0001-3,GLEN GUNRAK HWANG,LAS PALMAS MARKET,1259 N LAS PALMAS AVENUE,LOS ANGELES,90038-1241,1259 LAS PALMAS 90038-1241,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),4,03/29/2004,,"(34.0933, -118.3363)"
0003171240-0001-1,GALDINA AVILES,MINI MARKET LUNA,720 E FLORENCE AVENUE,LOS ANGELES,90001-2322,720 FLORENCE 90001,720 E FLORENCE AVENUE,LOS ANGELES,90001-2322,445100,Grocery stores (including supermarkets & convenience stores without gas),9,01/01/2020,,"(33.9745, -118.262)"
0003171902-0001-2,BEST PRICE DISTRIBUTORS INC.,QUICKMART LA,216 E 6TH STREET,LOS ANGELES,90014-2119,216 6TH 90014,216 E 6TH STREET,LOS ANGELES,90014-2119,445100,Grocery stores (including supermarkets & convenience stores without gas),14,01/01/2020,,"(34.0443, -118.2488)"
0002620504-0002-1,KENK USA INC,TESORO USA #63070,2214 N BROADWAY,LOS ANGELES,90031-2203,2214 BROADWAY 90031-2203,17042 DEVONSHIRE STREET SUITE #210,NORTHRIDGE,91325-1692,445100,Grocery stores (including supermarkets & convenience stores without gas),1,04/24/2012,,"(34.0736, -118.2177)"
0002611973-0002-5,MARIA JUAN MIGUEL,DOWNTOWN SALAD PLACE,117 W 9TH STREET LOBBY,LOS ANGELES,90015-1550,117 9TH 90015-1550,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),14,01/01/2013,,"(34.0417, -118.2551)"
0000267226-0001-0,EL VALLE OAXAQUENO INC,EL VALLE OAXAQUENO,1601 S VERMONT AVENUE #106,LOS ANGELES,90006-4541,1601 VERMONT 90006-4541,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),1,11/21/2000,,"(34.0442, -118.2915)"
0003167957-0001-1,GILMA MARISOL BERMUDEZ DE MARTINEZ,DAVID & JASON MINI MARKET,1985 W ADAMS BLVD SUITE #103,LOS ANGELES,90018-3512,1985 Adams 90018-3512,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,12/17/2019,,"(34.0331, -118.3082)"
0000101543-0006-1,MOTHERS NUTRITIONAL CENTER INC,,260 E MANCHESTER AVENUE UNIT #A & B,LOS ANGELES,90003-3418,260 MANCHESTER 90003-3418,13635 FREEWAY DRIVE,SANTA FE SPRINGS,90670-5622,445100,Grocery stores (including supermarkets & convenience stores without gas),9,10/25/2010,,"(33.96, -118.2695)"
0003244934-0001-1,JESSICA C VALDEZ DE LA O,AMIGO MARKET,2609 W TEMPLE STREET,LOS ANGELES,90026-4821,2609 TEMPLE 90026,2609 W TEMPLE STREET,LOS ANGELES,90026-4821,445100,Grocery stores (including supermarkets & convenience stores without gas),13,03/18/2021,,"(34.0728, -118.275)"
0003219478-0001-0,MARIA TORRES GARCIA,MARIAA MINI STORE,5440 S CENTRAL AVENUE   UNIT #A,LOS ANGELES,90011-6027,5440 CENTRAL 90011,1194 E 43RD PLACE,LOS ANGELES,90011-3521,445100,Grocery stores (including supermarkets & convenience stores without gas),9,11/01/2020,,"(33.9933, -118.2562)"
0002591975-0001-1,IRMA BENITEZ,,2555 W OLYMPIC BLVD,LOS ANGELES,90006-2918,2555 OLYMPIC 90006-2918,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),1,12/19/2011,,"(34.0523, -118.2866)"
0003191342-0001-1,FAROG ARMAN,,8816 S VERMONT AVENUE,LOS ANGELES,90044-4832,8816 VERMONT 90044-4832,8816 S VERMONT AVENUE   BUILDING,LOS ANGELES,90044-4832,445100,Grocery stores (including supermarkets & convenience stores without gas),8,04/01/2010,,"(33.9575, -118.2912)"
0000754620-0001-4,JAMES O HICKS / MARY J HICKS,J/M MARKET,6103 S HOOVER STREET,LOS ANGELES,90044-5417,6103 HOOVER 90044-5417,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,02/01/1966,,"(33.9846, -118.287)"
0000056957-0001-8,RAJEEV WALIA ENTERPRISES /C,7-ELEVEN STORE 20396G,2801 JAMES M WOOD BLVD,LOS ANGELES,90006-1701,2801 JAMES M WOOD 90006-1701,POST OFFICE BOX #219088,DALLAS,75221-9088,445100,Grocery stores (including supermarkets & convenience stores without gas),1,10/25/2000,,"(34.0558, -118.2891)"
0003219334-0001-9,SOMANG CORPORATION,FORTUNA MARKET,3378   GRIFFIN AVENUE,LOS ANGELES,90031-1916,3378 GRIFFIN 90031,3378   GRIFFIN AVENUE,LOS ANGELES,90031-1916,445100,Grocery stores (including supermarkets & convenience stores without gas),1,11/01/2020,,"(34.085, -118.2114)"
0003007009-0001-4,GOLD LEAF AUTO SALES LLC,GOLD LEAF FAMILLY MARKET,9333 S FIGUEROA STREET,LOS ANGELES,90003-3922,9333 FIGUEROA 90003-3922,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,09/11/2017,,"(33.9516, -118.2828)"
0002736977-0001-0,LISANDRA REYES,DOMINICS 1,2721 S CENTRAL AVENUE,LOS ANGELES,90011-5527,2721 CENTRAL 90011-5527,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,03/11/2014,,"(34.0172, -118.2555)"
0003086116-0001-6,JOSE PONCE BRAVO,B J MARKET,9404 S SAN PEDRO STREET,LOS ANGELES,90003-4321,9404 SAN PEDRO 90003-4321,9404 S SAN PEDRO STREET,LOS ANGELES,90003-4321,445100,Grocery stores (including supermarkets & convenience stores without gas),9,01/01/2019,,"(0.0, 0.0)"
0003208500-0001-2,"M & K GENERAL MERCHANDISE, LLC",BIG APPLE,630 S LOS ANGELES STREET   BUILDING #B1,LOS ANGELES,90014-3452,630 LOS ANGELES 90014-3452,8856 S WESTERN AVENUE   BUILDING,LOS ANGELES,90047-3328,445100,Grocery stores (including supermarkets & convenience stores without gas),14,08/21/2020,,"(34.0437, -118.2497)"
0003274066-0001-6,MARIO IBARRA MONTALVO,ANGELES BAKERY # 3,1833 W 6TH STREET,LOS ANGELES,90057-3101,1833 6th 90057-3101,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),1,10/14/2021,,"(34.0583, -118.2717)"
0002556592-0001-3,1355 FLORENCE INC,,1355 W FLORENCE AVENUE,LOS ANGELES,90044-2566,1355 FLORENCE 90044-2566,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,01/01/2011,,"(33.9745, -118.2993)"
0002830272-0001-1,VILMA MORALES,LAS CHIQUITAS,5146 S MAIN STREET,LOS ANGELES,90037-3840,5146 MAIN 90037-3840,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,03/20/2015,,"(33.9955, -118.2739)"
0002241745-0001-6,EPIFANIA LEAL ROMERO,XOCHILT MARKET,4201 S BROADWAY,LOS ANGELES,90037-2208,4201 BROADWAY 90037-2208,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),9,04/20/2007,,"(34.0073, -118.2783)"
0003171100-0001-8,FOUNTAIN MARKET INC,MARKET PLUS,6010   FOUNTAIN AVENUE,LOS ANGELES,90028-8311,6010 FOUNTAIN 90028-8311,6010   FOUNTAIN AVENUE,LOS ANGELES,90028-8311,445100,Grocery stores (including supermarkets & convenience stores without gas),13,01/03/2020,,"(34.0943, -118.3204)"
0000871538-0001-2,CHANDI & SON INC,LEES MARKET & LIQUOR,934 W 23RD STREET,LOS ANGELES,90007-1906,934 23RD 90007-1906,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),1,06/08/1998,,"(34.0337, -118.2807)"
0002845268-0001-8,PEDRO ALVAREZ,SUPER TIENDA GUATEMALA 99 CENT,1613 W 6TH STREET,LOS ANGELES,90017-1001,1613 6TH 90017-1001,801 S UNION AVENUE UNIT #302,LOS ANGELES,90017-2177,445100,Grocery stores (including supermarkets & convenience stores without gas),1,08/26/2013,,"(34.0569, -118.2691)"
0003197055-0001-7,LADY DIANA COLCHADO,LIAM'S MARKET,9128 S VERMONT AVENUE,LOS ANGELES,90044-4838,9128 Vermont 90044-4838,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,05/21/2020,,"(33.9534, -118.2912)"
0002621940-0002-7,SSS REALM CORPORATION,7-ELEVEN STORE 34535A,8600 S CENTRAL AVENUE,LOS ANGELES,90002-1124,8600 CENTRAL 90002-1124,POST OFFICE BOX #219088,DALLAS,75221-9088,445100,Grocery stores (including supermarkets & convenience stores without gas),9,07/13/2012,,"(33.9601, -118.2563)"
0003196817-0001-0,ZAYNA LLC,BABA'S MINI MARKET,555 S SAN PEDRO STREET   BUILDING,LOS ANGELES,90013-2101,555 SAN PEDRO 90013,909 E 7TH STREET   BUILDING,LOS ANGELES,90021-1407,445100,Grocery stores (including supermarkets & convenience stores without gas),14,06/01/2020,,"(34.0429, -118.2453)"
0002604225-0002-4,CRISTHIAN MINELI VARGAS MIRANDA,ONE DOLLAR UP STORE,8906 S WESTERN AVENUE,LOS ANGELES,90047-3548,8906 WESTERN 90047-3548,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,03/05/2012,,"(33.9562, -118.309)"
0003269631-0001-1,POWERED VENTURES INC,JIGHAO LIN,1071 GAYLEY AVENUE,LOS ANGELES,90024-3401,1071 Gayley 90024-3401,2261 MARKET STREET SUITE #4344,SAN FRANCISCO,94114-1612,445100,Grocery stores (including supermarkets & convenience stores without gas),5,09/01/2021,,"(34.0607, -118.447)"
0000907085-0001-1,YONG HWA PARK,D&S MARKET,9069 S NORMANDIE AVENUE,LOS ANGELES,90044-2051,9069 NORMANDIE 90044-2051,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),0,04/15/2004,,"(33.9547, -118.3002)"
0003271854-0001-7,DOMINGUEZ MARKET LLC,,4075 SE MAIN STREET,LOS ANGELES,90037-,4075 MAIN 90037,4075 SE MAIN STREET,LOS ANGELES,90037,445100,Grocery stores (including supermarkets & convenience stores without gas),0,06/25/2021,,
0000827546-0001-9,DOMENO & ASSOCIATES /C,7 ELEVEN STORE 18837E,3450 OVERLAND AVENUE,LOS ANGELES,90034-5406,3450 OVERLAND 90034-5406,POST OFFICE BOX #219088,DALLAS,75221-9088,445100,Grocery stores (including supermarkets & convenience stores without gas),5,08/01/1968,,"(34.0251, -118.4119)"
0000884228-0001-2,PHILLIP R ALLEN,SILVER DOLLAR LIQUOR CORPORATION,1650 W MANCHESTER AVENUE,LOS ANGELES,90047-5429,1650 MANCHESTER 90047-5429,,,,445100,Grocery stores (including supermarkets & convenience stores without gas),8,06/23/1998,,"(33.9599, -118.3057)"
0000386996-0001-3,CHONG CHOL/MICHELL KIM,7-ELEVEN STORE 18463C,904 VINE STREET,LOS ANGELES,90038-2702,904 VINE 90038-2702,POST OFFICE BOX #219088,DALLAS,75221-9088,445100,Grocery stores (including supermarkets & convenience stores without gas),13,08/18/1981,,"(34.0872, -118.3266)"
